order_id,product_id,category,sub_category,cost_price,list_price,quantity,discount_percent,discount_amount,sale_price,profit
23,OFF-AP-10001492,Office Supplies,Appliances,50.0,60.0,7,3.0,1.8,58.2,8.2
24,FUR-CH-10002774,Furniture,Chairs,60.0,70.0,2,4.0,2.8,67.2,7.2
25,FUR-TA-10000577,Furniture,Tables,900.0,1040.0,3,5.0,52.0,988.0,88.0
26,OFF-BI-10001634,Office Supplies,Binders,10.0,10.0,2,5.0,0.5,9.5,-0.5
27,TEC-AC-10003027,Technology,Accessories,80.0,90.0,3,3.0,2.7,87.3,7.3
28,FUR-BO-10004834,Furniture,Bookcases,2740.0,3080.0,7,3.0,92.4,2987.6,247.6
29,OFF-BI-10000474,Office Supplies,Binders,10.0,10.0,2,5.0,0.5,9.5,-0.5
30,FUR-FU-10004848,Furniture,Furnishings,100.0,120.0,3,4.0,4.8,115.2,15.2
31,OFF-EN-10001509,Office Supplies,Envelopes,0.0,0.0,2,5.0,0.0,0.0,0.0
32,OFF-AR-10004042,Office Supplies,Art,70.0,90.0,6,4.0,3.6,86.4,16.4
33,OFF-BI-10001525,Office Supplies,Binders,10.0,10.0,6,5.0,0.5,9.5,-0.5
34,OFF-AR-10001683,Office Supplies,Art,20.0,20.0,2,4.0,0.8,19.2,-0.8
35,OFF-PA-10000249,Office Supplies,Paper,30.0,30.0,3,3.0,0.9,29.1,-0.9
36,TEC-PH-10004977,Technology,Phones,1020.0,1100.0,7,5.0,55.0,1045.0,25.0
37,FUR-FU-10003664,Furniture,Furnishings,180.0,190.0,5,4.0,7.6,182.4,2.4
38,OFF-EN-10002986,Office Supplies,Envelopes,90.0,110.0,9,2.0,2.2,107.8,17.8
39,FUR-BO-10002545,Furniture,Bookcases,460.0,530.0,3,2.0,10.6,519.4,59.4
40,FUR-CH-10004218,Furniture,Chairs,200.0,210.0,3,2.0,4.2,205.8,5.8
41,TEC-PH-10000486,Technology,Phones,350.0,370.0,4,5.0,18.5,351.5,1.5
42,TEC-PH-10004093,Technology,Phones,140.0,150.0,4,3.0,4.5,145.5,5.5
43,OFF-ST-10003479,Office Supplies,Storage,70.0,80.0,2,5.0,4.0,76.0,6.0
44,OFF-ST-10003282,Office Supplies,Storage,90.0,100.0,2,4.0,4.0,96.0,6.0
45,TEC-AC-10000171,Technology,Accessories,40.0,50.0,2,2.0,1.0,49.0,9.0
46,OFF-BI-10003291,Office Supplies,Binders,20.0,20.0,2,5.0,1.0,19.0,-1.0
47,OFF-ST-10001713,Office Supplies,Storage,180.0,210.0,4,4.0,8.4,201.6,21.6
48,TEC-AC-10002167,Technology,Accessories,50.0,50.0,3,5.0,2.5,47.5,-2.5
49,TEC-PH-10003988,Technology,Phones,20.0,20.0,2,4.0,0.8,19.2,-0.8
50,OFF-BI-10004410,Office Supplies,Binders,30.0,40.0,6,4.0,1.6,38.4,8.4
51,OFF-LA-10002762,Office Supplies,Labels,70.0,80.0,6,4.0,3.2,76.8,6.8
52,FUR-FU-10001706,Furniture,Furnishings,10.0,10.0,2,4.0,0.4,9.6,-0.4
53,FUR-CH-10003061,Furniture,Chairs,70.0,90.0,1,5.0,4.5,85.5,15.5
54,OFF-FA-10000304,Office Supplies,Fasteners,20.0,20.0,7,3.0,0.6,19.4,-0.6
55,TEC-PH-10002447,Technology,Phones,850.0,1030.0,5,4.0,41.2,988.8,138.8
56,OFF-ST-10000604,Office Supplies,Storage,200.0,210.0,6,5.0,10.5,199.5,-0.5
57,OFF-PA-10001569,Office Supplies,Paper,30.0,30.0,5,5.0,1.5,28.5,-1.5
58,FUR-CH-10003968,Furniture,Chairs,290.0,320.0,5,2.0,6.4,313.6,23.6
59,OFF-PA-10000587,Office Supplies,Paper,10.0,10.0,2,4.0,0.4,9.6,-0.4
60,TEC-AC-10002167,Technology,Accessories,20.0,30.0,2,5.0,1.5,28.5,8.5
61,OFF-BI-10001460,Office Supplies,Binders,40.0,50.0,4,2.0,1.0,49.0,9.0
62,OFF-AR-10001868,Office Supplies,Art,0.0,0.0,1,5.0,0.0,0.0,0.0
63,TEC-AC-10004633,Technology,Accessories,10.0,10.0,2,3.0,0.3,9.7,-0.3
64,OFF-BI-10001078,Office Supplies,Binders,20.0,30.0,6,2.0,0.6,29.4,9.4
65,OFF-PA-10003892,Office Supplies,Paper,130.0,150.0,3,5.0,7.5,142.5,12.5
66,FUR-FU-10000397,Furniture,Furnishings,70.0,80.0,4,2.0,1.6,78.4,8.4
67,FUR-CH-10001146,Furniture,Chairs,180.0,210.0,5,5.0,10.5,199.5,19.5
68,OFF-AR-10002671,Office Supplies,Art,940.0,1110.0,8,3.0,33.3,1076.7,136.7
69,TEC-PH-10002726,Technology,Phones,160.0,170.0,4,3.0,5.1,164.9,4.9
70,OFF-PA-10000482,Office Supplies,Paper,70.0,80.0,2,2.0,1.6,78.4,8.4
71,OFF-BI-10004654,Office Supplies,Binders,0.0,0.0,1,3.0,0.0,0.0,0.0
72,OFF-PA-10004675,Office Supplies,Paper,20.0,20.0,3,3.0,0.6,19.4,-0.6
73,FUR-CH-10000513,Furniture,Chairs,790.0,830.0,8,2.0,16.6,813.4,23.4
74,FUR-FU-10003708,Furniture,Furnishings,90.0,100.0,2,3.0,3.0,97.0,7.0
75,OFF-ST-10004123,Office Supplies,Storage,60.0,70.0,1,2.0,1.4,68.6,8.6
76,OFF-BI-10004182,Office Supplies,Binders,0.0,0.0,3,4.0,0.0,0.0,0.0
77,FUR-FU-10000260,Furniture,Furnishings,10.0,10.0,3,4.0,0.4,9.6,-0.4
78,OFF-ST-10000615,Office Supplies,Storage,20.0,30.0,3,2.0,0.6,29.4,9.4
79,FUR-FU-10003194,Furniture,Furnishings,20.0,20.0,5,2.0,0.4,19.6,-0.4
80,OFF-AP-10002118,Office Supplies,Appliances,190.0,210.0,1,3.0,6.3,203.7,13.7
81,OFF-BI-10002309,Office Supplies,Binders,20.0,20.0,3,2.0,0.4,19.6,-0.4
82,OFF-AR-10002053,Office Supplies,Art,10.0,10.0,5,5.0,0.5,9.5,-0.5
83,OFF-ST-10002370,Office Supplies,Storage,20.0,20.0,1,4.0,0.8,19.2,-0.8
84,OFF-EN-10000927,Office Supplies,Envelopes,180.0,200.0,7,3.0,6.0,194.0,14.0
85,OFF-ST-10003656,Office Supplies,Storage,210.0,230.0,3,2.0,4.6,225.4,15.4
86,FUR-CH-10000863,Furniture,Chairs,260.0,300.0,2,5.0,15.0,285.0,25.0
87,TEC-AC-10001998,Technology,Accessories,20.0,20.0,1,5.0,1.0,19.0,-1.0
88,OFF-LA-10000134,Office Supplies,Labels,10.0,10.0,2,5.0,0.5,9.5,-0.5
89,OFF-ST-10003442,Office Supplies,Storage,140.0,160.0,7,5.0,8.0,152.0,12.0
90,OFF-AR-10004930,Office Supplies,Art,20.0,20.0,3,2.0,0.4,19.6,-0.4
91,TEC-PH-10004093,Technology,Phones,60.0,70.0,2,2.0,1.4,68.6,8.6
92,OFF-PA-10000304,Office Supplies,Paper,10.0,10.0,1,2.0,0.2,9.8,-0.2
93,OFF-PA-10003177,Office Supplies,Paper,10.0,10.0,2,2.0,0.2,9.8,-0.2
94,FUR-FU-10003799,Furniture,Furnishings,50.0,50.0,3,5.0,2.5,47.5,-2.5
95,OFF-BI-10002852,Office Supplies,Binders,20.0,30.0,2,3.0,0.9,29.1,9.1
96,OFF-BI-10004738,Office Supplies,Binders,10.0,10.0,1,2.0,0.2,9.8,-0.2
97,FUR-FU-10000629,Furniture,Furnishings,80.0,100.0,7,5.0,5.0,95.0,15.0
98,OFF-BI-10001721,Office Supplies,Binders,40.0,50.0,3,4.0,2.0,48.0,8.0
99,OFF-AP-10000358,Office Supplies,Appliances,70.0,80.0,6,3.0,2.4,77.6,7.6
100,OFF-PA-10003256,Office Supplies,Paper,60.0,60.0,7,3.0,1.8,58.2,-1.8
101,TEC-AC-10001767,Technology,Accessories,80.0,100.0,3,5.0,5.0,95.0,15.0
102,OFF-BI-10002609,Office Supplies,Binders,0.0,0.0,3,3.0,0.0,0.0,0.0
103,OFF-PA-10004040,Office Supplies,Paper,20.0,20.0,4,4.0,0.8,19.2,-0.8
104,TEC-AC-10001552,Technology,Accessories,220.0,240.0,6,3.0,7.2,232.8,12.8
105,FUR-FU-10004006,Furniture,Furnishings,90.0,100.0,3,5.0,5.0,95.0,5.0
106,OFF-BI-10002794,Office Supplies,Binders,30.0,40.0,3,5.0,2.0,38.0,8.0
107,TEC-AC-10003499,Technology,Accessories,60.0,70.0,8,5.0,3.5,66.5,6.5
108,TEC-PH-10002844,Technology,Phones,30.0,30.0,1,3.0,0.9,29.1,-0.9
109,OFF-AR-10000390,Office Supplies,Art,0.0,0.0,1,3.0,0.0,0.0,0.0
110,TEC-AC-10000844,Technology,Accessories,290.0,340.0,5,2.0,6.8,333.2,43.2
111,FUR-FU-10001934,Furniture,Furnishings,30.0,40.0,2,2.0,0.8,39.2,9.2
112,OFF-AR-10000380,Office Supplies,Art,70.0,80.0,2,3.0,2.4,77.6,7.6
113,OFF-BI-10003981,Office Supplies,Binders,30.0,30.0,6,3.0,0.9,29.1,-0.9
114,OFF-FA-10000621,Office Supplies,Fasteners,40.0,40.0,14,2.0,0.8,39.2,-0.8
115,OFF-EN-10002600,Office Supplies,Envelopes,0.0,0.0,2,4.0,0.0,0.0,0.0
116,OFF-PA-10004965,Office Supplies,Paper,20.0,20.0,3,4.0,0.8,19.2,-0.8
117,OFF-EN-10002504,Office Supplies,Envelopes,120.0,130.0,6,5.0,6.5,123.5,3.5
118,FUR-TA-10001768,Furniture,Tables,720.0,790.0,3,4.0,31.6,758.4,38.4
119,OFF-BI-10003650,Office Supplies,Binders,140.0,160.0,1,5.0,8.0,152.0,12.0
120,FUR-FU-10002157,Furniture,Furnishings,50.0,50.0,3,3.0,1.5,48.5,-1.5
121,OFF-BI-10003910,Office Supplies,Binders,20.0,30.0,4,2.0,0.6,29.4,9.4
122,OFF-ST-10000777,Office Supplies,Storage,190.0,230.0,6,2.0,4.6,225.4,35.4
123,OFF-EN-10002500,Office Supplies,Envelopes,110.0,120.0,9,4.0,4.8,115.2,5.2
124,TEC-PH-10003875,Technology,Phones,60.0,70.0,7,2.0,1.4,68.6,8.6
125,FUR-CH-10004063,Furniture,Chairs,550.0,600.0,3,3.0,18.0,582.0,32.0
126,FUR-TA-10004534,Furniture,Tables,540.0,620.0,6,4.0,24.8,595.2,55.2
127,OFF-BI-10003274,Office Supplies,Binders,0.0,0.0,2,4.0,0.0,0.0,0.0
128,OFF-ST-10002974,Office Supplies,Storage,200.0,240.0,7,4.0,9.6,230.4,30.4
129,FUR-CH-10001146,Furniture,Chairs,70.0,80.0,2,2.0,1.6,78.4,8.4
130,FUR-FU-10003773,Furniture,Furnishings,220.0,240.0,3,4.0,9.6,230.4,10.4
131,TEC-PH-10002293,Technology,Phones,50.0,60.0,5,3.0,1.8,58.2,8.2
132,OFF-PA-10002377,Office Supplies,Paper,80.0,80.0,2,4.0,3.2,76.8,-3.2
133,OFF-FA-10002780,Office Supplies,Fasteners,20.0,20.0,9,5.0,1.0,19.0,-1.0
134,OFF-PA-10001804,Office Supplies,Paper,20.0,20.0,3,4.0,0.8,19.2,-0.8
135,OFF-PA-10001736,Office Supplies,Paper,30.0,40.0,1,5.0,2.0,38.0,8.0
136,OFF-AR-10001149,Office Supplies,Art,10.0,10.0,4,5.0,0.5,9.5,-0.5
137,OFF-FA-10002988,Office Supplies,Fasteners,0.0,0.0,2,5.0,0.0,0.0,0.0
138,OFF-BI-10004781,Office Supplies,Binders,70.0,80.0,3,2.0,1.6,78.4,8.4
139,OFF-SU-10001218,Office Supplies,Supplies,60.0,70.0,6,5.0,3.5,66.5,6.5
140,FUR-FU-10001706,Furniture,Furnishings,40.0,40.0,14,2.0,0.8,39.2,-0.8
141,FUR-FU-10004848,Furniture,Furnishings,60.0,80.0,2,2.0,1.6,78.4,18.4
142,OFF-AR-10000940,Office Supplies,Art,10.0,10.0,3,3.0,0.3,9.7,-0.3
143,OFF-EN-10004030,Office Supplies,Envelopes,10.0,10.0,3,2.0,0.2,9.8,-0.2
144,OFF-PA-10004327,Office Supplies,Paper,130.0,140.0,3,5.0,7.0,133.0,3.0
145,OFF-AP-10001058,Office Supplies,Appliances,780.0,840.0,3,2.0,16.8,823.2,43.2
146,OFF-ST-10003656,Office Supplies,Storage,600.0,670.0,7,3.0,20.1,649.9,49.9
147,FUR-FU-10000521,Furniture,Furnishings,80.0,90.0,4,4.0,3.6,86.4,6.4
148,TEC-PH-10000215,Technology,Phones,350.0,380.0,11,4.0,15.2,364.8,14.8
149,TEC-PH-10001448,Technology,Phones,140.0,150.0,3,5.0,7.5,142.5,2.5
150,FUR-CH-10000454,Furniture,Chairs,1580.0,1950.0,8,3.0,58.5,1891.5,311.5
151,OFF-BI-10002735,Office Supplies,Binders,150.0,170.0,5,4.0,6.8,163.2,13.2
152,OFF-AP-10000326,Office Supplies,Appliances,140.0,160.0,5,5.0,8.0,152.0,12.0
153,TEC-PH-10001254,Technology,Phones,160.0,200.0,2,2.0,4.0,196.0,36.0
154,OFF-PA-10001950,Office Supplies,Paper,50.0,60.0,7,4.0,2.4,57.6,7.6
155,OFF-PA-10002254,Office Supplies,Paper,100.0,110.0,4,4.0,4.4,105.6,5.6
156,OFF-ST-10001590,Office Supplies,Storage,60.0,80.0,6,4.0,3.2,76.8,16.8
157,OFF-AR-10001547,Office Supplies,Art,10.0,10.0,3,3.0,0.3,9.7,-0.3
158,FUR-CH-10004063,Furniture,Chairs,380.0,460.0,2,2.0,9.2,450.8,70.8
159,OFF-LA-10002475,Office Supplies,Labels,10.0,10.0,2,3.0,0.3,9.7,-0.3
160,TEC-PH-10004536,Technology,Phones,870.0,940.0,7,5.0,47.0,893.0,23.0
161,OFF-PA-10002751,Office Supplies,Paper,10.0,10.0,1,4.0,0.4,9.6,-0.4
162,TEC-AC-10003657,Technology,Accessories,40.0,50.0,2,5.0,2.5,47.5,7.5
163,OFF-EN-10001990,Office Supplies,Envelopes,30.0,30.0,5,4.0,1.2,28.8,-1.2
164,OFF-BI-10004002,Office Supplies,Binders,20.0,30.0,2,3.0,0.9,29.1,9.1
165,OFF-AR-10004441,Office Supplies,Art,10.0,10.0,3,5.0,0.5,9.5,-0.5
166,TEC-MA-10000822,Technology,Machines,6850.0,8160.0,8,4.0,326.4,7833.6,983.6
167,OFF-ST-10000991,Office Supplies,Storage,250.0,280.0,3,4.0,11.2,268.8,18.8
168,FUR-CH-10004287,Furniture,Chairs,1620.0,1740.0,9,4.0,69.6,1670.4,50.4
169,OFF-AR-10002656,Office Supplies,Art,30.0,30.0,6,4.0,1.2,28.8,-1.2
170,OFF-AP-10002518,Office Supplies,Appliances,150.0,180.0,5,2.0,3.6,176.4,26.4
171,TEC-PH-10003931,Technology,Phones,120.0,140.0,3,5.0,7.0,133.0,13.0
172,OFF-PA-10000659,Office Supplies,Paper,20.0,20.0,3,2.0,0.4,19.6,-0.4
173,OFF-PA-10001144,Office Supplies,Paper,100.0,110.0,2,4.0,4.4,105.6,5.6
174,FUR-CH-10003817,Furniture,Chairs,290.0,340.0,7,2.0,6.8,333.2,43.2
175,OFF-AP-10000891,Office Supplies,Appliances,50.0,50.0,2,4.0,2.0,48.0,-2.0
176,OFF-LA-10003148,Office Supplies,Labels,20.0,20.0,4,5.0,1.0,19.0,-1.0
177,OFF-AP-10002684,Office Supplies,Appliances,90.0,100.0,4,2.0,2.0,98.0,8.0
178,FUR-CH-10004698,Furniture,Chairs,370.0,400.0,7,5.0,20.0,380.0,10.0
179,OFF-SU-10002189,Office Supplies,Supplies,20.0,20.0,5,3.0,0.6,19.4,-0.6
180,OFF-AR-10001940,Office Supplies,Art,0.0,0.0,1,5.0,0.0,0.0,0.0
181,OFF-ST-10003455,Office Supplies,Storage,20.0,20.0,2,5.0,1.0,19.0,-1.0
182,TEC-AC-10004659,Technology,Accessories,380.0,410.0,7,3.0,12.3,397.7,17.7
183,TEC-PH-10003273,Technology,Phones,470.0,500.0,4,5.0,25.0,475.0,5.0
184,TEC-PH-10004896,Technology,Phones,140.0,150.0,5,2.0,3.0,147.0,7.0
185,TEC-AC-10002345,Technology,Accessories,30.0,30.0,2,5.0,1.5,28.5,-1.5
186,OFF-BI-10001890,Office Supplies,Binders,10.0,10.0,2,2.0,0.2,9.8,-0.2
187,TEC-AC-10002323,Technology,Accessories,160.0,180.0,8,3.0,5.4,174.6,14.6
188,OFF-ST-10001328,Office Supplies,Storage,40.0,40.0,3,4.0,1.6,38.4,-1.6
189,OFF-PA-10001950,Office Supplies,Paper,20.0,20.0,3,3.0,0.6,19.4,-0.6
190,FUR-BO-10002613,Furniture,Bookcases,820.0,900.0,4,3.0,27.0,873.0,53.0
191,TEC-PH-10001552,Technology,Phones,60.0,70.0,6,4.0,2.8,67.2,7.2
192,OFF-PA-10000061,Office Supplies,Paper,50.0,50.0,8,5.0,2.5,47.5,-2.5
193,FUR-BO-10002545,Furniture,Bookcases,520.0,630.0,3,2.0,12.6,617.4,97.4
194,OFF-AR-10003514,Office Supplies,Art,20.0,20.0,5,3.0,0.6,19.4,-0.6
195,OFF-EN-10001509,Office Supplies,Envelopes,10.0,10.0,7,2.0,0.2,9.8,-0.2
196,OFF-AR-10004685,Office Supplies,Art,10.0,10.0,2,5.0,0.5,9.5,-0.5
197,OFF-AR-10004027,Office Supplies,Art,10.0,10.0,3,2.0,0.2,9.8,-0.2
198,OFF-ST-10001414,Office Supplies,Storage,40.0,50.0,3,5.0,2.5,47.5,7.5
199,OFF-BI-10000343,Office Supplies,Binders,0.0,0.0,2,5.0,0.0,0.0,0.0
200,OFF-PA-10002749,Office Supplies,Paper,20.0,20.0,3,2.0,0.4,19.6,-0.4
201,OFF-PA-10002666,Office Supplies,Paper,20.0,20.0,3,5.0,1.0,19.0,-1.0
202,FUR-TA-10004289,Furniture,Tables,200.0,220.0,2,3.0,6.6,213.4,13.4
203,OFF-AP-10003622,Office Supplies,Appliances,0.0,0.0,1,5.0,0.0,0.0,0.0
204,OFF-AP-10003217,Office Supplies,Appliances,60.0,70.0,2,2.0,1.4,68.6,8.6
205,FUR-FU-10002960,Furniture,Furnishings,40.0,40.0,7,3.0,1.2,38.8,-1.2
206,TEC-PH-10001918,Technology,Phones,370.0,440.0,4,3.0,13.2,426.8,56.8
207,OFF-ST-10000642,Office Supplies,Storage,70.0,80.0,4,4.0,3.2,76.8,6.8
208,TEC-PH-10001700,Technology,Phones,120.0,130.0,2,3.0,3.9,126.1,6.1
209,OFF-BI-10003274,Office Supplies,Binders,20.0,20.0,4,3.0,0.6,19.4,-0.6
210,OFF-FA-10000134,Office Supplies,Fasteners,50.0,50.0,9,2.0,1.0,49.0,-1.0
211,OFF-ST-10001522,Office Supplies,Storage,80.0,90.0,1,5.0,4.5,85.5,5.5
212,TEC-AC-10001266,Technology,Accessories,20.0,20.0,2,4.0,0.8,19.2,-0.8
213,OFF-LA-10004544,Office Supplies,Labels,20.0,20.0,2,4.0,0.8,19.2,-0.8
214,FUR-BO-10004695,Furniture,Bookcases,390.0,450.0,5,5.0,22.5,427.5,37.5
215,TEC-PH-10002844,Technology,Phones,50.0,60.0,3,3.0,1.8,58.2,8.2
216,TEC-MA-10000864,Technology,Machines,1040.0,1190.0,9,4.0,47.6,1142.4,102.4
217,TEC-AC-10000109,Technology,Accessories,80.0,90.0,2,5.0,4.5,85.5,5.5
218,OFF-ST-10001328,Office Supplies,Storage,80.0,90.0,6,3.0,2.7,87.3,7.3
219,TEC-PH-10002563,Technology,Phones,250.0,300.0,3,4.0,12.0,288.0,38.0
220,OFF-FA-10000585,Office Supplies,Fasteners,10.0,10.0,2,2.0,0.2,9.8,-0.2
221,OFF-PA-10004000,Office Supplies,Paper,20.0,20.0,6,4.0,0.8,19.2,-0.8
222,OFF-BI-10002852,Office Supplies,Binders,20.0,20.0,4,3.0,0.6,19.4,-0.6
223,FUR-FU-10000087,Furniture,Furnishings,60.0,70.0,4,3.0,2.1,67.9,7.9
224,TEC-MA-10001148,Technology,Machines,410.0,480.0,4,4.0,19.2,460.8,50.8
225,OFF-AR-10001958,Office Supplies,Art,30.0,30.0,2,4.0,1.2,28.8,-1.2
226,OFF-AR-10001026,Office Supplies,Art,0.0,0.0,1,2.0,0.0,0.0,0.0
227,FUR-TA-10003748,Furniture,Tables,510.0,620.0,5,2.0,12.4,607.6,97.6
228,OFF-ST-10002485,Office Supplies,Storage,20.0,20.0,1,3.0,0.6,19.4,-0.6
229,FUR-CH-10004860,Furniture,Chairs,130.0,160.0,2,2.0,3.2,156.8,26.8
230,FUR-CH-10004477,Furniture,Chairs,360.0,390.0,8,2.0,7.8,382.2,22.2
231,OFF-BI-10001679,Office Supplies,Binders,20.0,20.0,7,5.0,1.0,19.0,-1.0
232,FUR-TA-10001705,Furniture,Tables,210.0,230.0,2,4.0,9.2,220.8,10.8
233,FUR-TA-10003473,Furniture,Tables,510.0,620.0,3,4.0,24.8,595.2,85.2
234,OFF-BI-10001679,Office Supplies,Binders,10.0,10.0,2,2.0,0.2,9.8,-0.2
235,FUR-FU-10004017,Furniture,Furnishings,250.0,260.0,3,5.0,13.0,247.0,-3.0
236,TEC-AC-10003832,Technology,Accessories,500.0,620.0,3,4.0,24.8,595.2,95.2
237,OFF-PA-10002479,Office Supplies,Paper,10.0,10.0,2,4.0,0.4,9.6,-0.4
238,OFF-PA-10003349,Office Supplies,Paper,30.0,30.0,5,4.0,1.2,28.8,-1.2
239,FUR-FU-10000576,Furniture,Furnishings,340.0,420.0,5,2.0,8.4,411.6,71.6
240,FUR-FU-10004351,Furniture,Furnishings,10.0,10.0,3,2.0,0.2,9.8,-0.2
241,TEC-PH-10000011,Technology,Phones,30.0,30.0,2,3.0,0.9,29.1,-0.9
242,FUR-TA-10002607,Furniture,Tables,150.0,180.0,5,3.0,5.4,174.6,24.6
243,FUR-FU-10002505,Furniture,Furnishings,0.0,0.0,3,4.0,0.0,0.0,0.0
244,OFF-AR-10004685,Office Supplies,Art,10.0,10.0,2,3.0,0.3,9.7,-0.3
245,FUR-CH-10004063,Furniture,Chairs,1620.0,2000.0,7,2.0,40.0,1960.0,340.0
246,OFF-ST-10002276,Office Supplies,Storage,150.0,170.0,2,4.0,6.8,163.2,13.2
247,OFF-PA-10004082,Office Supplies,Paper,40.0,50.0,6,5.0,2.5,47.5,7.5
248,OFF-AP-10002945,Office Supplies,Appliances,1380.0,1500.0,5,5.0,75.0,1425.0,45.0
249,OFF-PA-10000061,Office Supplies,Paper,20.0,30.0,4,3.0,0.9,29.1,9.1
250,FUR-CH-10002965,Furniture,Chairs,300.0,320.0,2,5.0,16.0,304.0,4.0
251,OFF-PA-10004569,Office Supplies,Paper,10.0,10.0,1,3.0,0.3,9.7,-0.3
252,TEC-AC-10003832,Technology,Accessories,3050.0,3350.0,13,4.0,134.0,3216.0,166.0
253,OFF-ST-10001228,Office Supplies,Storage,70.0,80.0,6,5.0,4.0,76.0,6.0
254,OFF-EN-10003296,Office Supplies,Envelopes,330.0,360.0,4,4.0,14.4,345.6,15.6
255,FUR-FU-10002505,Furniture,Furnishings,10.0,10.0,9,2.0,0.2,9.8,-0.2
256,OFF-ST-10004804,Office Supplies,Storage,70.0,80.0,2,2.0,1.6,78.4,8.4
257,OFF-ST-10001590,Office Supplies,Storage,40.0,50.0,5,2.0,1.0,49.0,9.0
258,TEC-PH-10001580,Technology,Phones,590.0,650.0,6,4.0,26.0,624.0,34.0
259,TEC-AC-10000290,Technology,Accessories,20.0,20.0,3,5.0,1.0,19.0,-1.0
260,OFF-ST-10002790,Office Supplies,Storage,180.0,220.0,3,4.0,8.8,211.2,31.2
261,OFF-BI-10003460,Office Supplies,Binders,20.0,20.0,5,5.0,1.0,19.0,-1.0
262,OFF-AP-10002203,Office Supplies,Appliances,0.0,0.0,2,2.0,0.0,0.0,0.0
263,TEC-MA-10000822,Technology,Machines,2690.0,3060.0,3,3.0,91.8,2968.2,278.2
264,TEC-MA-10003353,Technology,Machines,2170.0,2520.0,7,3.0,75.6,2444.4,274.4
265,TEC-PH-10001433,Technology,Phones,300.0,330.0,4,3.0,9.9,320.1,20.1
266,TEC-AC-10004469,Technology,Accessories,70.0,80.0,2,4.0,3.2,76.8,6.8
267,OFF-AR-10003602,Office Supplies,Art,10.0,10.0,3,5.0,0.5,9.5,-0.5
268,OFF-FA-10003472,Office Supplies,Fasteners,10.0,10.0,6,2.0,0.2,9.8,-0.2
269,OFF-ST-10004180,Office Supplies,Storage,30.0,40.0,1,3.0,1.2,38.8,8.8
270,OFF-EN-10004386,Office Supplies,Envelopes,50.0,60.0,3,3.0,1.8,58.2,8.2
271,OFF-ST-10003208,Office Supplies,Storage,590.0,730.0,4,2.0,14.6,715.4,125.4
272,TEC-AC-10003628,Technology,Accessories,200.0,210.0,7,5.0,10.5,199.5,-0.5
273,FUR-FU-10003274,Furniture,Furnishings,10.0,10.0,3,4.0,0.4,9.6,-0.4
274,OFF-BI-10002557,Office Supplies,Binders,10.0,10.0,3,4.0,0.4,9.6,-0.4
275,OFF-PA-10002615,Office Supplies,Paper,10.0,10.0,2,3.0,0.3,9.7,-0.3
276,OFF-AR-10001427,Office Supplies,Art,10.0,10.0,1,2.0,0.2,9.8,-0.2
277,OFF-PA-10000673,Office Supplies,Paper,10.0,10.0,2,4.0,0.4,9.6,-0.4
278,OFF-PA-10004470,Office Supplies,Paper,20.0,20.0,4,2.0,0.4,19.6,-0.4
